time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-03-01T08:37:54.390Z,40.9286652,-124.4905014,-0.52,2.66,md,7,247,0.3668,0.07,nc,nc73348550,2020-03-01T19:13:04.129Z,"31km NW of Bayview, CA",earthquake,1.24,3.26,0.05,9,automatic,nc,nc
2020-02-27T06:18:28.900Z,40.3896667,-125.0285,1.71,2.55,md,21,297,0.5339,0.11,nc,nc73346805,2020-02-29T02:34:02.389Z,"63km W of Petrolia, CA",earthquake,1.94,2.77,0.342,27,reviewed,nc,nc
2020-02-26T09:21:14.490Z,40.3008333,-124.6188333,18.18,2.69,md,44,241,0.2117,0.14,nc,nc73346175,2020-02-27T03:34:03.032Z,"28km W of Petrolia, CA",earthquake,1.27,0.35,0.188,42,reviewed,nc,nc
2020-02-22T19:14:27.580Z,40.2895,-124.6736667,7.07,4.33,mw,27,286,0.2533,0.16,nc,nc73344735,2020-02-24T21:07:27.622Z,"33km W of Petrolia, CA",earthquake,1.48,0.86,,4,reviewed,nc,nc
2020-02-22T06:09:39.970Z,40.3003333,-124.6733333,7.23,2.55,md,40,258,0.2533,0.24,nc,nc73344490,2020-02-25T01:42:03.257Z,"33km W of Petrolia, CA",earthquake,0.79,0.69,0.216,27,reviewed,nc,nc
2020-02-20T06:04:00.670Z,40.4585,-125.6308333,12.26,3.32,ml,47,260,0.9869,0.27,nc,nc73343650,2020-02-21T01:50:02.754Z,"115km W of Petrolia, CA",earthquake,2.67,4.38,0.255,35,reviewed,nc,nc
2020-02-16T13:27:33.599Z,41.7963,-126.005,10,2.9,ml,,241,1.389,0.42,us,us70007rbc,2020-02-23T15:58:58.040Z,"145km W of Brookings, Oregon",earthquake,5.9,2,0.047,59,reviewed,us,us
2020-02-16T03:51:19.280Z,40.5365,-124.8626667,24.75,2.9,md,63,248,0.405,0.2,nc,nc73341670,2020-02-20T03:35:03.456Z,"51km W of Ferndale, CA",earthquake,1.14,7.69,0.154,50,reviewed,nc,nc
2020-02-07T10:45:52.400Z,40.6128333,-124.597,25.34,2.88,md,47,217,0.2407,0.15,nc,nc73336781,2020-02-12T05:48:02.995Z,"28km W of Ferndale, CA",earthquake,0.47,1.24,0.191,55,reviewed,nc,nc
2020-02-07T00:53:18.300Z,40.3533333,-124.279,29.77,2.82,md,30,123,0.02907,0.11,nc,nc73336646,2020-02-12T05:18:02.820Z,"3km N of Petrolia, CA",earthquake,0.39,0.43,0.157,59,reviewed,nc,nc
2020-02-06T11:05:29.590Z,40.2875,-124.3615,7.48,3.06,ml,21,246,0.0145,0.13,nc,nc73336291,2020-02-13T07:07:29.040Z,"8km WSW of Petrolia, CA",earthquake,0.65,0.3,0.23,21,reviewed,nc,nc
2020-02-06T10:00:08.260Z,40.3016667,-124.3901667,8.88,2.51,md,17,239,0.03871,0.08,nc,nc73336276,2020-02-13T06:42:17.040Z,"9km WSW of Petrolia, CA",earthquake,0.38,0.25,0.124,15,reviewed,nc,nc
2020-02-06T08:20:24.620Z,40.3025,-124.3835,8.8,3.76,mw,21,237,0.0343,0.09,nc,nc73336226,2020-02-26T12:30:41.040Z,"9km WSW of Petrolia, CA",earthquake,0.5,0.24,,5,reviewed,nc,nc
2020-02-03T10:39:57.770Z,40.4341667,-124.6501667,23.8,3.16,ml,51,234,0.2422,0.15,nc,nc73335171,2020-02-10T08:12:35.040Z,"33km WNW of Petrolia, CA",earthquake,0.6,0.95,0.259,52,reviewed,nc,nc
2020-01-25T06:34:22.249Z,40.3335,-126.7836,10,3,ml,,263,1.867,0.82,us,us60007fhv,2020-02-12T10:43:57.040Z,"215km W of Ferndale, California",earthquake,2.4,2,0.045,65,reviewed,us,us
2020-01-21T18:16:09.730Z,40.5586667,-124.1245,22.74,2.61,md,30,40,0.03739,0.1,nc,nc73330171,2020-02-28T17:59:09.040Z,"3km WNW of Hydesville, CA",earthquake,0.3,0.37,0.19,27,reviewed,nc,nc
2020-01-14T13:28:29.260Z,40.3033333,-124.5243333,19.81,2.95,ml,20,264,0.1398,0.09,nc,nc73327436,2020-01-27T18:17:44.040Z,"20km W of Petrolia, CA",earthquake,0.82,0.35,0.237,7,reviewed,nc,nc
2020-01-12T16:22:29.049Z,40.6126,-126.9946,10,3.1,ml,,257,2.199,0.43,us,us70006ysr,2020-01-27T17:16:45.451Z,"231km W of Ferndale, California",earthquake,8.7,2,0.049,55,reviewed,us,us
2020-01-09T02:28:39.430Z,40.4608333,-124.7295,23.95,2.66,md,21,295,0.2994,0.15,nc,nc73325386,2020-02-20T00:33:57.040Z,"41km WNW of Petrolia, CA",earthquake,1.19,2.47,0.152,20,reviewed,nc,nc
2020-01-09T02:10:24.700Z,40.461,-124.7708333,20.97,2.58,md,20,300,0.3309,0.12,nc,nc73325376,2020-02-20T00:49:10.040Z,"44km WNW of Petrolia, CA",earthquake,1.18,0.85,0.176,14,reviewed,nc,nc
2020-01-06T06:34:17.950Z,40.9061667,-124.1795,18.56,2.5,md,25,168,0.1256,0.12,nc,nc73324261,2020-02-17T06:49:01.040Z,"8km SW of McKinleyville, CA",earthquake,0.47,0.31,0.149,19,reviewed,nc,nc
2020-01-01T18:41:29.870Z,40.3966667,-124.9305,4.12,2.51,md,16,296,0.4594,0.12,nc,nc73322241,2020-02-21T00:25:46.040Z,"55km W of Petrolia, CA",earthquake,1.58,1.14,0.225,18,reviewed,nc,nc
2020-01-01T12:09:25.560Z,40.36,-125.2675,8.75,2.72,md,17,307,0.7107,0.28,nc,nc73322156,2020-01-30T10:39:06.040Z,"83km W of Petrolia, CA",earthquake,12.92,12.82,0.185,22,reviewed,nc,nc
